State	  Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000
Missouri	74978.00	422.00	5.63	75954.00	394.00	5.19	76000.00	452.00	5.95	78660.00	440.00	5.59	78701.00	414.00	5.26	79057.00	385.00	4.87	77663.00	342.00	4.40	77973.00	322.00	4.13	77218.00	295.00	3.82	76788.00	306.00	3.98	79191.00	306.00	3.86	80343.00	263.00	3.27	79140.00	274.00	3.46	79526.00	266.00	3.34	78631.00	305.00	3.88	79070.00	295.00	3.73	80753.00	214.00	2.65	82475.00	131.00	1.59
Montana	11894.00	136.00	11.43	12040.00	85.00	7.06	12402.00	83.00	6.69	12555.00	88.00	7.01	12877.00	69.00	5.36	12382.00	75.00	6.06	12239.00	75.00	6.13	12145.00	52.00	4.28	12122.00	65.00	5.36	12117.00	42.00	3.47	12273.00	47.00	3.83	12120.00	33.00	2.72	12242.00	45.00	3.68	12225.00	28.00	2.29	12291.00	32.00	2.60	12399.00	32.00	2.58	12753.00	28.00	2.20	13278.00	16.00	1.21
Nebraska	25907.00	506.00	19.53	26130.00	345.00	13.20	26137.00	378.00	14.46	26707.00	318.00	11.91	26591.00	329.00	12.37	26412.00	270.00	10.22	26196.00	266.00	10.15	26165.00	244.00	9.33	25675.00	209.00	8.14	25361.00	205.00	8.08	25386.00	197.00	7.76	25326.00	172.00	6.79	24714.00	168.00	6.80	24275.00	149.00	6.14	24337.00	134.00	5.51	24407.00	163.00	6.68	25114.00	135.00	5.38	25225.00	94.00	3.73
Nevada	36675.00	878.00	23.94	36678.00	428.00	11.67	36620.00	416.00	11.36	38514.00	420.00	10.91	37953.00	372.00	9.80	37329.00	348.00	9.32	37018.00	284.00	7.67	36868.00	267.00	7.24	36230.00	238.00	6.57	36137.00	231.00	6.39	36967.00	228.00	6.17	37164.00	209.00	5.62	36637.00	194.00	5.30	36085.00	197.00	5.46	36386.00	207.00	5.69	36788.00	173.00	4.70	37011.00	163.00	4.40	36715.00	92.00	2.51
New Hampshire	12910.00	102.00	7.90	12928.00	59.00	4.56	13451.00	62.00	4.61	13870.00	58.00	4.18	14491.00	59.00	4.07	14693.00	60.00	4.08	14836.00	59.00	3.98	15150.00	56.00	3.70	15576.00	38.00	2.44	15721.00	34.00	2.16	15859.00	47.00	2.96	16561.00	33.00	1.99	16322.00	37.00	2.27	16904.00	47.00	2.78	17054.00	40.00	2.35	17604.00	42.00	2.39	17941.00	26.00	1.45	18113.00	16.00	0.88
New Jersey	104457.00	1236.00	11.83	105966.00	544.00	5.13	105310.00	560.00	5.32	109258.00	545.00	4.99	110898.00	493.00	4.45	110689.00	466.00	4.21	111733.00	486.00	4.35	113369.00	446.00	3.93	112412.00	410.00	3.65	112062.00	383.00	3.42	114574.00	393.00	3.43	117240.00	366.00	3.12	116149.00	344.00	2.96	116768.00	321.00	2.75	117953.00	343.00	2.91	118811.00	347.00	2.92	121642.00	280.00	2.30	123519.00	253.00	2.05
New Mexico	28752.00	601.00	20.90	28729.00	426.00	14.83	28750.00	414.00	14.40	29910.00	398.00	13.31	29607.00	390.00	13.17	29411.00	397.00	13.50	29477.00	375.00	12.72	29068.00	340.00	11.70	28545.00	338.00	11.84	28735.00	278.00	9.67	28729.00	265.00	9.22	29029.00	259.00	8.92	28753.00	245.00	8.52	28124.00	218.00	7.75	27723.00	225.00	8.12	27876.00	146.00	5.24	28800.00	156.00	5.42	29401.00	102.00	3.47
New York	242280.00	6895.00	28.46	231479.00	4631.00	20.01	226251.00	4515.00	19.96	231888.00	4253.00	18.34	231682.00	3939.00	17.00	229684.00	3979.00	17.32	230730.00	4048.00	17.54	231799.00	4071.00	17.56	231693.00	3947.00	17.04	230913.00	3608.00	15.62	234871.00	3454.00	14.71	240970.00	3406.00	14.13	237578.00	3433.00	14.45	239721.00	3610.00	15.06	243493.00	3849.00	15.81	248911.00	4225.00	16.97	257338.00	4126.00	16.03	264727.00	2471.00	9.33
North Carolina	121983.00	2647.00	21.70	124536.00	1839.00	14.77	125371.00	1794.00	14.31	128611.00	1671.00	12.99	129290.00	1565.00	12.10	128534.00	1492.00	11.61	127239.00	1331.00	10.46	127591.00	1309.00	10.26	126331.00	1170.00	9.26	127295.00	1101.00	8.65	131446.00	1120.00	8.52	131518.00	1050.00	7.98	128419.00	994.00	7.74	126764.00	977.00	7.71	124425.00	945.00	7.59	124298.00	898.00	7.22	125855.00	758.00	6.02	128087.00	273.00	2.13
North Dakota	8993.00	118.00	13.12	8932.00	86.00	9.63	9151.00	90.00	9.83	8962.00	102.00	11.38	9011.00	95.00	10.54	8780.00	83.00	9.45	8460.00	87.00	10.28	8244.00	57.00	6.91	8009.00	65.00	8.12	7802.00	54.00	6.92	7743.00	68.00	8.78	7848.00	64.00	8.15	7857.00	63.00	8.02	8158.00	75.00	9.19	8119.00	55.00	6.77	8123.00	55.00	6.77	8293.00	34.00	4.10	8671.00	23.00	2.65
